"老師的錄影都會放在哪?","HackMD","HappyMD","MDHack","HopeMD","A"
"Vsocde版本?","1.12.2以上","1.104.1以上","1.106.1以上","1.104.1下","B"
"我這堂課名字?","程式設計與應用(一)","程式設計與學習(一)","程式設計與實習(一)","程式設計與設計(一)","C"
"設定畫布大小的函數是?","setSize()","canvas()","createCanvas()","window()","C"
"色票表選顏色時,是由幾個英文字母(或數字)?","6","7","5","8","A"
"p5.js的畫布原點(0,0)在哪個位置?","左上角","右下角","中心","左下角","A"
"老師上課教我們用甚麼ai?","copilot","chatgpt","HackMD","sketch.js","A"
"我們點名是用甚麼點名?","數字點名","ip點名跟掃QRcode點名","沒點過名","只用作業點名","B"
"我們打程式時,是在哪打?","index.html","sketch.js","jsconfig.json","gmail.com","B"
"我們作品作業是在那裡交給老師","Gemini","chatcpt","github","copilot","C"
